@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
6.8, 4.0, green
6.829838449152572, 6.765576208110514, red
14.697926213249794, 3.351419830286039, green
13.093987734537954, 11.704743501786888, green
14.597364011623235, 3.802910053849196, green
8.811566894527829, 11.328708330937012, green
10.303045359762823, 2.0781238082310223, green
8.438222099536038, 7.721666937754816, green
9.14047229143168, 5.875187564819927, green
11.0, 5.0, green
11.037655864378046, 7.110460636612601, green
14.071214809426465, 2.458429293655728, green
10.795584565946815, 10.90367869031101, red
