@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
4.5, 4.3, green
10.3, 2.0, green
8.0, 12.0, green
6.699147645418143, 7.282912849207448, red
9.347102849354565, 5.001036623927684, green
9.514065009548284, 7.217986994799127, green
10.26329196809764, 11.80083356161072, green
12.518190142498293, 2.7689990625832532, green
8.928661780950911, 9.724372398053811, green
1.5, 0.7, red
12.554823376897048, 4.894912599609255, green
14.989580246642616, 8.82512911243247, green
