@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
1.0, 0.8, red
9.0, 1.9, green
7.196047855262202, 6.835194209501903, red
8.680927767192577, 9.766231842748033, green
8.649429004174669, 11.736681432639315, green
9.977371753097316, 9.570431053365159, green
8.450819547725732, 8.92141523442446, green
12.991022044351023, 6.833892268293311, green
12.0, 0.0, green
10.0, 1.0, green
8.906589619880211, 9.760718475078843, green
12.07687941504469, 8.88901558071251, green
14.380043677650848, 2.0471216218058457, green
