@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
0.38, 0.8, red
7.9, 0.0, green
14.64616348716433, 5.340380979552538, green
9.01192889337438, 5.911468926614886, green
10.847220007590892, 11.951036705687876, green
12.381828238547358, 3.7660016861119554, green
10.207649150306894, 9.983096583264459, red
5.9, 6.0, green
8.55153618753928, 4.526833498500615, green
9.81446952283614, 8.401265808873863, green
10.444826440931518, 10.930831282102483, green
12.32283479963798, 9.892300064903205, green
