@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
0.19, 0.28, red
11.0, 0.0, green
12.490017776754911, 8.151584384414011, green
13.048656586077154, 3.402826554666501, green
13.568497343407925, 3.9679373760257945, green
12.01588311125839, 9.711545249581828, green
8.288985565872506, 5.036515838181052, green
10.507825724186496, 2.876764423794235, green
7.063903958695923, 6.856142669242438, red
10.33783710478381, 5.197621484145925, green
8.826458099959899, 8.029393521118774, green
13.35941555652189, 3.95669862342837, green
12.580236366014992, 11.464598318091682, green
