@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
5.9, 5.6, green
7.9, 1.0, green
8.6, 1.0, green
16.0, 8.0, green
6.647600339314645, 7.044989215446408, red
7.4985618844128625, 7.191881405166586, red
11.96292001541377, 2.83394182576517, green
8.601532546997976, 5.281433550919154, green
14.625497411756896, 6.722135145223626, green
8.114814930206414, 10.354162049609121, green
14.472137488971747, 8.373306750300063, green
11.480295802803877, 6.940902486099839, green
9.675183976590588, 4.996861318914811, green
