@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
5.8, 4.7, green
4.2, 5.0, green
4.2, 7.0, green
6.511849380904008, 6.929314044170251, red
12.935473500495018, 6.943373948748961, green
8.112487473950882, 5.596410395657392, green
9.161294799899279, 7.678373710693001, green
14.894117118751598, 8.246942488590431, green
14.190714284541144, 9.692252592031974, green
2.1, 0.9, red
9.0, 0.9, green
14.559596832335533, 6.138907993700947, green
