@relation distaa1828a1828
@attribute 5.3 real [0.19, 16.0]
@attribute 5.5 real [0.0, 12.0]
@attribute green {green, red}
@inputs 5.3, 5.5
@outputs green
@data
1.0, 0.6, red
9.0, 2.0, green
11.0, 2.0, green
5.6, 3.0, green
6.101133075288422, 7.022216596743107, red
10.325066332800645, 9.048893508794063, green
11.247447566709152, 10.090881980258068, green
10.655658439487333, 10.314727811816628, green
13.708622170347981, 8.033157138541196, green
14.455775697061195, 10.111431599386316, green
11.645549310070233, 9.121283797646235, green
10.019340494480359, 5.368485289504982, green
14.456713754812004, 5.400232089239488, green
